Year,Transect,Site_Num,Site_Code,latitude,longitude,meltdate,SDD,Source
2013,Reflection Lakes,1,RL1,46.77058,-121.72337,6/24/2013,176,model
2013,Reflection Lakes,2,RL2,46.77334,-121.72337,7/1/2013,183,model
2013,Reflection Lakes,3,RL3,46.7748,-121.7198,6/30/2013,181,model
2013,Reflection Lakes,4,RL4,46.77567,-121.72017,7/10/2013,192,model
2013,Reflection Lakes,5,RL5,46.7817,-121.71968,7/6/2013,188,model
2013,Reflection Lakes,6,RL6,46.78736,-121.71936,7/13/2013,195,model
2013,Reflection Lakes,7,RL7,46.7919,-121.71693,7/13/2013,194,model
2013,Reflection Lakes,8,RL8,46.79403,-121.71604,7/11/2013,193,model
2013,Reflection Lakes,9,RL9,46.79654,-121.71194,7/16/2013,197,model
2014,Reflection Lakes,1,RL1,46.77058,-121.72337,7/1/2014,181,hobo
2014,Reflection Lakes,2,RL2,46.77334,-121.72337,7/4/2014,183,hobo
2014,Reflection Lakes,3,RL3,46.7748,-121.7198,7/3/2014,181,hobo
2014,Reflection Lakes,4,RL4,46.77567,-121.72017,7/19/2014,196,hobo
2014,Reflection Lakes,5,RL5,46.7817,-121.71968,7/17/2014,193,hobo
2014,Reflection Lakes,6,RL6,46.78736,-121.71936,7/21/2014,196,observer
2014,Reflection Lakes,7,RL7,46.7919,-121.71693,7/23/2014,197,hobo
2014,Reflection Lakes,8,RL8,46.79403,-121.71604,7/21/2014,194,hobo
2014,Reflection Lakes,9,RL9,46.79654,-121.71194,7/21/2014,193,observer
2015,Reflection Lakes,1,RL1,46.77058,-121.72337,5/8/2015,128,hobo
2015,Reflection Lakes,2,RL2,46.77334,-121.72337,5/20/2015,140,hobo
2015,Reflection Lakes,3,RL3,46.7748,-121.7198,5/19/2015,139,hobo
2015,Reflection Lakes,4,RL4,46.77567,-121.72017,5/25/2015,145,hobo
2015,Reflection Lakes,5,RL5,46.7817,-121.71968,5/20/2015,140,hobo
2015,Reflection Lakes,6,RL6,46.78736,-121.71936,5/31/2015,151,hobo
2015,Reflection Lakes,7,RL7,46.7919,-121.71693,5/29/2015,149,hobo
2015,Reflection Lakes,8,RL8,46.79403,-121.71604,5/29/2015,149,hobo
2015,Reflection Lakes,9,RL9,46.79654,-121.71194,6/8/2015,159,hobo
2015,Glacier Basin,1,GB1,46.90012749,-121.6656709,4/26/2015,116,hobo
2015,Glacier Basin,2,GB2,46.8998472,-121.6679776,4/14/2015,104,hobo
2015,Glacier Basin,3,GB3,46.8994463,-121.6715809,4/16/2015,106,hobo
2015,Glacier Basin,4,GB4,46.89917657,-121.6723669,4/29/2015,120,model
2015,Glacier Basin,5,GB5,46.89703591,-121.6780356,4/26/2015,116,hobo
2015,Glacier Basin,6,GB6,46.89660911,-121.6814828,4/26/2015,116,hobo
2015,Glacier Basin,7,GB7,46.89693248,-121.683676,4/22/2015,113,model
2015,Glacier Basin,8,GB8,46.89611625,-121.6872923,5/13/2015,133,hobo
2015,Glacier Basin,9,GB9,46.89422177,-121.6928842,5/23/2015,143,hobo
2015,Glacier Basin,10,GB10,46.89297102,-121.6964053,5/5/2015,125,hobo
2015,Glacier Basin,11,GB11,46.89088996,-121.6983855,5/10/2015,130,hobo
2015,Glacier Basin,12,GB12,46.89051831,-121.6987283,5/24/2015,144,hobo
2015,Glacier Basin,13,GB13,46.89003509,-121.6993236,5/3/2015,123,hobo
2015,Glacier Basin,14,GB14,46.88931509,-121.7001941,5/16/2015,136,hobo
2015,Glacier Basin,15,GB15,46.88849903,-121.7043276,5/15/2015,135,hobo
2016,Reflection Lakes,1,RL1,46.77058,-121.72337,6/16/2016,167,hobo
2016,Reflection Lakes,2,RL2,46.77334,-121.72337,5/27/2016,147,hobo
2016,Reflection Lakes,3a,RL3a,46.7748,-121.7198,6/7/2016,158,hobo
2016,Reflection Lakes,3b,RL3b,46.77573,-121.72025,7/3/2016,184,hobo
2016,Reflection Lakes,4,RL4,46.77567,-121.72017,6/29/2016,180,hobo
2016,Reflection Lakes,5a,RL5a,46.7817,-121.71968,7/11/2016,192,hobo
2016,Reflection Lakes,5b,RL5b,46.78403,-121.72019,6/28/2016,179,hobo
2016,Reflection Lakes,6,RL6,46.78736,-121.71936,7/10/2016,191,hobo
2016,Reflection Lakes,7,RL7,46.7919,-121.71693,7/1/2016,182,hobo
2016,Reflection Lakes,8,RL8,46.79403,-121.71604,6/25/2016,176,hobo
2016,Reflection Lakes,9,RL9,46.79654,-121.71194,7/21/2016,202,observer
2016,Glacier Basin,1,GB1,46.90012749,-121.6656709,5/13/2016,133,hobo
2016,Glacier Basin,2,GB2,46.8998472,-121.6679776,5/1/2016,121,hobo
2016,Glacier Basin,3,GB3,46.8994463,-121.6715809,5/2/2016,122,hobo
2016,Glacier Basin,4,GB4,46.89917657,-121.6723669,5/25/2016,145,hobo
2016,Glacier Basin,5,GB5,46.89703591,-121.6780356,5/7/2016,127,hobo
2016,Glacier Basin,6,GB6,46.89660911,-121.6814828,4/16/2016,106,hobo
2016,Glacier Basin,7,GB7,46.89693248,-121.683676,6/5/2016,156,hobo
2016,Glacier Basin,8,GB8,46.89611625,-121.6872923,6/4/2016,155,hobo
2016,Glacier Basin,9,GB9,46.89422177,-121.6928842,6/27/2016,178,hobo
2016,Glacier Basin,10,GB10,46.89297102,-121.6964053,6/3/2016,154,hobo
2016,Glacier Basin,11,GB11,46.89088996,-121.6983855,6/3/2016,154,hobo
2016,Glacier Basin,12,GB12,46.89051831,-121.6987283,6/21/2016,172,hobo
2016,Glacier Basin,13,GB13,46.89003509,-121.6993236,5/21/2016,141,hobo
2016,Glacier Basin,14,GB14,46.88931509,-121.7001941,6/14/2016,165,observer
2016,Glacier Basin,15,GB15,46.88849903,-121.7043276,6/22/2016,173,hobo
2017,Reflection Lakes,1,RL1,46.77058,-121.72337,7/11/2017,191,hobo
2017,Reflection Lakes,2,RL2,46.77334,-121.72337,6/23/2017,173,hobo
2017,Reflection Lakes,3,RL3,46.7748,-121.7198,7/8/2017,188,hobo
2017,Reflection Lakes,4,RL4,46.77573,-121.72025,7/8/2017,188,hobo
2017,Reflection Lakes,5,RL5,46.77567,-121.72017,7/19/2017,199,hobo
2017,Reflection Lakes,6,RL6,46.7817,-121.71968,7/15/2017,195,observer
2017,Reflection Lakes,7,RL7,46.78403,-121.72019,7/15/2017,195,hobo
2017,Reflection Lakes,8,RL8,46.78736,-121.71936,7/12/2017,192,hobo
2017,Reflection Lakes,9,RL9,46.7919,-121.71693,7/15/2017,195,hobo
2017,Reflection Lakes,10,RL10,46.79403,-121.71604,7/17/2017,197,hobo
2017,Reflection Lakes,11,RL11,46.79654,-121.71194,7/15/2017,195,hobo
2017,Glacier Basin,1,GB1,46.90012749,-121.6656709,6/2/2017,152,hobo
2017,Glacier Basin,2,GB2,46.8998472,-121.6679776,5/29/2017,148,hobo
2017,Glacier Basin,3,GB3,46.8994463,-121.6715809,5/30/2017,149,hobo
2017,Glacier Basin,4,GB4,46.89917657,-121.6723669,5/30/2017,149,nearby
2017,Glacier Basin,5,GB5,46.89703591,-121.6780356,5/30/2017,149,hobo
2017,Glacier Basin,6,GB6,46.89660911,-121.6814828,6/24/2017,174,nearby_observer
2017,Glacier Basin,7,GB7,46.89693248,-121.683676,6/24/2017,174,hobo
2017,Glacier Basin,8,GB8,46.89611625,-121.6872923,6/24/2017,174,hobo
2017,Glacier Basin,9,GB9,46.89422177,-121.6928842,6/27/2017,177,hobo
2017,Glacier Basin,10,GB10,46.89297102,-121.6964053,6/26/2017,176,hobo
2017,Glacier Basin,11,GB11,46.89088996,-121.6983855,6/25/2017,175,hobo
2017,Glacier Basin,12,GB12,46.89051831,-121.6987283,6/29/2017,179,hobo
2017,Glacier Basin,13,GB13,46.89003509,-121.6993236,6/19/2017,169,hobo
2017,Glacier Basin,14,GB14,46.88931509,-121.7001941,6/24/2017,174,hobo
2017,Glacier Basin,15,GB15,46.88849903,-121.7043276,7/6/2017,186,hobo
2017,Glacier Basin,16,GB16,46.88931509,-121.7001941,6/27/2017,177,hobo
2017,Glacier Basin,17,GB17,46.88849903,-121.7043276,7/3/2017,183,hobo
2018,Reflection Lakes,1,RL1,46.77058,-121.72337,7/6/2018,187,hobo
2018,Reflection Lakes,2,RL2,46.77334,-121.72337,6/25/2018,176,hobo
2018,Reflection Lakes,3,RL3,46.7748,-121.7198,7/5/2018,186,hobo
2018,Reflection Lakes,4,RL4,46.77573,-121.72025,7/3/2018,184,hobo
2018,Reflection Lakes,5,RL5,46.77567,-121.72017,7/12/2018,193,hobo
2018,Reflection Lakes,6,RL6,46.7817,-121.71968,7/7/2018,188,hobo
2018,Reflection Lakes,7,RL7,46.78403,-121.72019,7/13/2018,194,observer
2018,Reflection Lakes,8,RL8,46.78736,-121.71936,7/11/2018,192,observer
2018,Reflection Lakes,9,RL9,46.7919,-121.71693,7/11/2018,192,observer
2018,Reflection Lakes,10,RL10,46.79403,-121.71604,7/12/2018,193,observer
2018,Reflection Lakes,11,RL11,46.79654,-121.71194,7/12/2018,193,observer
2018,Glacier Basin,1,GB1,46.90012749,-121.6656709,5/14/2018,134,hobo
2018,Glacier Basin,2,GB2,46.8998472,-121.6679776,5/14/2018,134,hobo
2018,Glacier Basin,3,GB3,46.8994463,-121.6715809,5/16/2018,136,hobo
2018,Glacier Basin,4,GB4,46.89917657,-121.6723669,5/21/2018,141,hobo
2018,Glacier Basin,5,GB5,46.89703591,-121.6780356,5/8/2018,128,hobo
2018,Glacier Basin,6,GB6,46.89660911,-121.6814828,5/25/2018,145,hobo
2018,Glacier Basin,7,GB7,46.89693248,-121.683676,6/7/2018,158,hobo
2018,Glacier Basin,8,GB8,46.89611625,-121.6872923,6/18/2018,169,hobo
2018,Glacier Basin,9,GB9,46.89422177,-121.6928842,6/20/2018,171,hobo
2018,Glacier Basin,10,GB10,46.89297102,-121.6964053,6/12/2018,163,hobo
2018,Glacier Basin,11,GB11,46.89088996,-121.6983855,6/9/2018,160,hobo
2018,Glacier Basin,12,GB12,46.89051831,-121.6987283,6/20/2018,171,hobo
2018,Glacier Basin,13,GB13,46.89003509,-121.6993236,6/13/2018,164,hobo
2018,Glacier Basin,14,GB14,46.88931509,-121.7001941,6/6/2018,157,hobo
2018,Glacier Basin,15,GB15,46.88849903,-121.7043276,6/17/2018,168,hobo
2018,Glacier Basin,16,GB16,46.88931509,-121.7001941,5/26/2018,146,hobo
2018,Glacier Basin,17,GB17,46.88849903,-121.7043276,6/18/2018,169,hobo
