"","year","stand","plot","calibration","snow_appearance_date","snow_disappearance_date","snow_cover_duration","minimum_soil_temp"
"1",2015,"soil","GB-1",0.908337037037037,"2014-11-13","2015-04-26",119,-1.684
"2",2017,"soil","GB-1",0,"2016-11-17","2017-06-01",197,0.343
"3",2018,"soil","GB-1",0,"2017-10-08","2018-05-12",204,0.01
"4",2019,"soil","GB-1",0,"2018-11-05","2019-05-22",197,-0.549
"5",2015,"soil","GB-10",-0.00117546296296296,"2014-10-26","2015-05-05",177,-2.03
"6",2017,"soil","GB-10",0,"2016-10-19","2017-06-26",229,0.121
"7",2018,"soil","GB-10",0,"2017-10-08","2018-06-07",231,-0.549
"8",2019,"soil","GB-10",0,NA,NA,0,21.434
"9",2015,"soil","GB-11",0.293092735042735,"2014-10-24","2015-05-11",194,-0.549
"10",2017,"soil","GB-11",0,"2016-10-17","2017-06-24",247,0.232
"11",2018,"soil","GB-11",0,"2017-10-12","2018-06-10",230,-1.001
"12",2019,"soil","GB-11",0,NA,NA,0,31.617
"13",2015,"soil","GB-12",0.203692879499218,"2014-10-24","2015-05-24",212,-1.114
"14",2017,"soil","GB-12",0,"2016-10-17","2017-06-28",255,0.01
"15",2018,"soil","GB-12",0,"2017-10-03","2018-06-19",258,0.121
"16",2015,"soil","GB-13",0.195603130755064,"2014-10-24","2015-05-03",180,-2.727
"17",2017,"soil","GB-13",0,"2016-10-17","2017-06-18",239,0.121
"18",2019,"soil","GB-13",32.576000502008,NA,NA,0,31.213
"19",2015,"soil","GB-14",0.387375816993464,"2014-10-24","2015-05-16",202,-0.102
"20",2017,"soil","GB-14",0,"2016-10-17","2017-06-23",250,0.121
"21",2018,"soil","GB-14",0,"2017-10-13","2018-06-05",232,-3.197
"22",2019,"soil","GB-14",0,NA,NA,0,29.995
"23",2015,"soil","GB-15",0.13483630952381,"2014-10-24","2015-05-15",194,-0.213
"24",2017,"soil","GB-15",0,"2016-10-17","2017-07-05",260,0.121
"25",2018,"soil","GB-15",0,"2017-10-02","2018-06-16",253,0.121
"26",2019,"soil","GB-15",0,NA,NA,0,27.091
"27",2017,"soil","GB-16",0.42435085978836,"2016-10-17","2017-06-26",252,0.121
"28",2018,"soil","GB-16",0,"2017-10-11","2018-05-25",223,-0.213
"29",2019,"soil","GB-16",0,NA,NA,0,28.969
"30",2017,"soil","GB-17",0,"2016-10-17","2017-07-01",258,0.232
"31",2018,"soil","GB-17",0,"2017-10-12","2018-06-17",243,0.01
"32",2019,"soil","GB-17",0,NA,NA,0,28.762
"33",2015,"soil","GB-2",0.497398496240602,"2014-11-11","2015-04-14",127,-0.213
"34",2017,"soil","GB-2",0,"2016-11-16","2017-05-27",193,0.121
"35",2018,"soil","GB-2",0,"2017-10-13","2018-05-12",197,-2.494
"36",2019,"soil","GB-2",0,"2018-11-08","2019-05-20",194,-1.001
"37",2018,"soil","GB-3",0.282682890855457,"2016-11-16","2018-03-21",339,-2.03
"38",2015,"soil","GB-3",0.722300228310502,"2014-11-12","2015-04-15",142,-0.437
"39",2018,"soil","GB-3",0,"2017-10-22","2018-05-15",194,-3.197
"40",2017,"soil","GB-4",0,"2016-11-01","2017-05-29",194,0.121
"41",2018,"soil","GB-4",0,"2017-10-11","2018-05-18",203,0.121
"42",2019,"soil","GB-4",0,"2018-11-06","2019-05-22",197,-2.261
"43",2015,"soil","GB-5",0.834890655105973,"2014-11-11","2015-04-26",166,-0.102
"44",2017,"soil","GB-5",0,"2016-12-10","2017-05-28",132,0.453
"45",2018,"soil","GB-5",0,"2017-10-12","2018-05-06",182,0.232
"46",2019,"soil","GB-5",0,"2018-11-23","2019-03-31",45,0.784
"47",2015,"soil","GB-6",1.51245087719298,"2014-11-12","2015-04-25",76,-0.887
"48",2018,"soil","GB-6",0,"2017-10-11","2018-05-22",198,0.343
"49",2019,"soil","GB-6",0,"2018-11-08","2019-05-10",171,-0.887
"50",2017,"soil","GB-7",0,"2016-10-17","2017-06-23",228,0.232
"51",2018,"soil","GB-7",0,"2017-10-08","2018-06-10",234,0.232
"52",2015,"soil","GB-8",0.263177241962775,"2014-10-26","2015-05-14",193,-0.887
"53",2017,"soil","GB-8",0,"2016-10-17","2017-06-23",236,-0.325
"54",2018,"soil","GB-8",0,"2017-10-09","2018-06-17",251,0.01
"55",2019,"soil","GB-8",0,"2018-10-05","2019-06-13",222,-1.341
"56",2015,"soil","GB-9",0.145993527508091,"2014-10-24","2015-05-22",204,-1.57
"57",2017,"soil","GB-9",0,"2016-10-17","2017-06-26",240,0.232
"58",2018,"soil","GB-9",0,"2017-10-08","2018-06-19",255,-0.102
"59",2019,"soil","GB-9",0,NA,NA,0,28.762
"60",2014,"soil","MW-1",0.437850065616798,"2013-10-02","2014-07-01",249,0.232
"61",2015,"soil","MW-1",0.274308333333333,"2014-10-27","2015-05-08",177,-2.261
"62",2014,"soil","MW-2",0.362972530864198,"2013-09-30","2014-07-04",270,0.232
"63",2015,"soil","MW-2",0.168084595959596,"2014-10-26","2015-05-20",197,-0.213
"64",2014,"soil","MW-3",0.383372078720787,"2013-09-30","2014-07-02",271,0.121
"65",2015,"soil","MW-3",0.28518125,"2014-10-27","2015-05-19",198,-0.774
"66",2014,"soil","MW-4",0.35919493006993,"2013-09-30","2014-07-18",285,0.121
"67",2015,"soil","MW-4",0.289648333333333,"2014-10-27","2015-05-24",197,-2.494
"68",2014,"soil","MW-5",0.283898148148148,"2013-09-29","2014-07-16",279,-1.799
"69",2015,"soil","MW-5",0.218992307692308,"2014-10-26","2015-05-20",194,-2.03
"70",2013,"soil","MW-6",0.379353395061728,"2013-09-29","2013-12-02",54,-0.102
"71",2015,"soil","MW-6",0.127664215686275,"2014-10-24","2015-05-30",204,-5.249
"72",2014,"soil","MW-7",0.300175958188153,"2013-09-30","2014-07-23",287,-0.549
"73",2015,"soil","MW-7",0.291554086538462,"2014-10-24","2015-05-29",207,-2.727
"74",2014,"soil","MW-8",0.230927700348432,"2013-09-30","2014-07-20",287,-0.437
"75",2015,"soil","MW-8",0.133458538587849,"2014-10-23","2015-05-29",203,-8.314
"76",2013,"soil","MW-9",0.976876068376068,"2013-09-30","2013-11-07",39,0.453
"77",2015,"soil","MW-9",0.255873271889401,"2014-10-16","2015-06-08",217,-5.003
"78",2016,"soil","MW-GlacierBasin-1",0,"2015-11-03","2016-05-12",192,-0.102
"79",2016,"soil","MW-GlacierBasin-10",0,"2015-11-02","2016-06-02",214,-0.437
"80",2016,"soil","MW-GlacierBasin-11",0,"2015-10-26","2016-06-02",216,0.121
"81",2016,"soil","MW-GlacierBasin-12",0,"2015-10-26","2016-06-20",236,-0.887
"82",2016,"soil","MW-GlacierBasin-13",0,"2015-10-26","2016-05-19",202,0.121
"83",2016,"soil","MW-GlacierBasin-15",0,"2015-10-26","2016-06-20",235,-0.549
"84",2016,"soil","MW-GlacierBasin-2",0,"2015-11-04","2016-04-30",175,0.121
"85",2016,"soil","MW-GlacierBasin-3",0,"2015-11-03","2016-05-02",175,-0.549
"86",2016,"soil","MW-GlacierBasin-4",0,"2015-11-02","2016-05-24",205,0.232
"87",2016,"soil","MW-GlacierBasin-5",0,"2015-11-03","2016-05-07",187,-0.213
"88",2016,"soil","MW-GlacierBasin-6",0,"2015-11-11","2016-04-16",136,0.232
"89",2016,"soil","MW-GlacierBasin-7",0,"2015-11-02","2016-06-04",216,0.232
"90",2016,"soil","MW-GlacierBasin-8",0,"2015-11-02","2016-06-03",215,0.01
"91",2016,"soil","MW-GlacierBasin-9",0,"2015-10-27","2016-06-26",240,0.232
"92",2017,"soil","RL-1",0,"2016-10-20","2017-07-10",243,0.232
"93",2018,"soil","RL-1",0,"2017-10-12","2018-07-05",267,0.121
"94",2019,"soil","RL-1",0,NA,NA,0,32.218
"95",2017,"soil","RL-10",0,"2016-10-17","2017-07-16",271,0.01
"96",2019,"soil","RL-10",0,NA,NA,0,32.018
"97",2017,"soil","RL-11",0,"2016-10-17","2017-07-14",268,0.232
"98",2017,"soil","RL-2",0,"2016-10-17","2017-06-22",230,0.121
"99",2018,"soil","RL-2",0,"2017-10-12","2018-06-21",246,0.232
"100",2019,"soil","RL-2",0,NA,NA,0,32.018
"101",2017,"soil","RL-3",0,"2016-10-17","2017-07-07",243,0.121
"102",2018,"soil","RL-3",0,"2017-10-12","2018-07-04",253,0.121
"103",2019,"soil","RL-3",0,NA,NA,0,32.418
"104",2018,"soil","RL-4",0,"2017-10-12","2018-07-02",257,0.121
"105",2017,"soil","RL-4",0,"2016-10-17","2017-07-07",249,0.01
"106",2019,"soil","RL-4",0,NA,NA,0,32.018
"107",2017,"soil","RL-5",0,"2016-10-17","2017-07-18",271,0.232
"108",2018,"soil","RL-5",0,"2017-10-12","2018-07-11",269,-0.102
"109",2019,"soil","RL-5",0,NA,NA,0,32.218
"110",2016,"soil","RL-6",0,NA,NA,0,Inf
"111",2018,"soil","RL-6",0.223308109833972,"2017-10-12","2018-07-06",261,-0.549
"112",2019,"soil","RL-6",0,NA,NA,0,32.218
"113",2017,"soil","RL-7",0,"2016-10-17","2017-07-14",270,0.01
"114",2019,"soil","RL-7",0,NA,NA,0,32.218
"115",2017,"soil","RL-8",0,"2016-10-17","2017-07-11",265,0.01
"116",2019,"soil","RL-8",0,NA,NA,0,31.415
"117",2017,"soil","RL-9",0,"2016-10-17","2017-07-13",270,0.01
"118",2019,"soil","RL-9",0,NA,NA,0,32.018
